age,gender,maritalstatus,education,occupation,annualincome,homeowner,state,monthlybilledamount,totalminsusedinlastmonth,unpaidbalance,numberofmonthunpaid,numberofcomplaints,numdayscontractequipmentplanexpiring,penaltytoswitch,calldroprate,callfailurerate,percentagecalloutsidenetwork,totalcallduration_mean,totalcallduration_std,totalcallduration_min,totalcallduration_max,avgcallduration_mean,avgcallduration_std,avgcallduration_min,avgcallduration_max,churn
45,Female,Single,High School or below,Technology Related Job,116370,Yes,AK,70,219,144,0,1,44,229,0.01,0.02,0.15,3282.0,2979.7479759201115,1175,5389,592.5,7.7781745930520225,587,598,0
75,Male,Single,High School or below,Non-technology Related Job,227270,Yes,AR,8,416,159,6,2,63,401,0.07,0.03,0.61,4516.5,672.4585489084067,4041,4992,751.5,348.6036431249679,505,998,0
23,Male,Married,Bachelor or equivalent,Technology Related Job,225299,Yes,MA,15,419,19,3,1,3,261,0.01,0.0,0.82,3223.5,6.363961030678928,3219,3228,644.0,1.4142135623730951,643,645,0
53,Female,Married,Bachelor or equivalent,Non-technology Related Job,86200,Yes,MN,73,116,34,1,2,22,434,0.0,0.0,0.28,3900.5,2864.489570586704,1875,5926,608.5,23.33452377915607,592,625,0
69,Female,Single,Bachelor or equivalent,Technology Related Job,84229,No,SC,81,119,144,6,1,62,294,0.02,0.02,0.49,4940.666666666667,3964.8788548117495,405,7748,647.3333333333334,219.55485267543813,405,833,0
31,Male,Married,Master or equivalent,Non-technology Related Job,195129,Yes,SD,18,316,159,4,2,81,466,0.0,0.02,0.94,4414.5,3960.5050814258525,1614,7215,764.0,60.81118318204309,721,807,0
47,Female,Single,High School or below,Technology Related Job,193158,Yes,DE,26,320,19,1,0,21,327,0.02,0.0,0.15,4108.5,2837.619512901615,2102,6115,515.5,135.0573952066306,420,611,0
78,Male,Single,High School or below,Non-technology Related Job,54058,Yes,GA,84,16,34,7,2,39,499,0.0,0.0,0.61,5720.0,1112.9860735876257,4933,6507,758.5,77.07463914933368,704,813,0
26,Male,Married,High School or below,Technology Related Job,52087,Yes,NE,91,20,144,5,0,80,359,0.02,0.02,0.82,2725.3333333333335,2464.5511423651433,270,5199,517.6666666666666,236.86353314373517,270,742,0
56,Female,Married,High School or below,Non-technology Related Job,162988,No,NH,29,217,159,2,1,98,32,0.0,0.02,0.28,3886.5,129.4005409571382,3795,3978,777.0,25.45584412271571,759,795,0
72,Female,Married,High School or below,Technology Related Job,161017,Yes,VA,37,220,19,0,0,39,392,0.02,0.0,0.49,4535.0,4156.373659814526,1596,7474,733.0,472.34732983261375,399,1067,0
34,Male,Married,Bachelor or equivalent,Non-technology Related Job,21917,Yes,WA,95,417,34,5,1,57,64,0.01,0.0,0.94,3402.6666666666665,2854.5774351615223,331,5974,684.0,326.44601391348004,331,975,0
50,Female,Single,Bachelor or equivalent,Technology Related Job,19946,Yes,IN,102,420,144,3,0,98,424,0.03,0.02,0.16,5132.5,4150.009698783848,2198,8067,732.5,0.7071067811865476,732,733,0
13,Male,Single,Bachelor or equivalent,Non-technology Related Job,130846,Yes,KS,40,117,159,0,1,16,97,0.01,0.02,0.61,3026.3333333333335,1682.9807881652523,1083,4002,1027.0,48.507731342539614,998,1083,0
28,Male,Married,PhD or equivalent,Technology Related Job,128875,Yes,NC,47,121,19,6,3,57,457,0.03,0.0,0.82,3068.5,2382.2427458174784,1384,4753,648.0,427.0924958366747,346,950,0
59,Female,Single,High School or below,Non-technology Related Job,239776,Yes,OH,105,318,34,3,1,75,129,0.01,0.0,0.28,3002.6666666666665,476.46231050664784,2622,3537,989.0,303.98026251715754,707,1311,0
75,Female,Married,High School or below,Technology Related Job,237805,Yes,AK,113,321,143,1,3,16,489,0.03,0.02,0.49,2264.5,1061.3672785610079,1514,3015,553.5,70.0035713374682,504,603,0
37,Male,Married,High School or below,Non-technology Related Job,98705,Yes,AR,51,18,158,6,0,34,162,0.01,0.02,0.95,3658.0,2142.533546995239,2143,5173,645.0,306.8843430349616,428,862,0
53,Female,Single,High School or below,Technology Related Job,96734,No,MD,58,21,18,4,3,75,22,0.03,0.0,0.16,2394.5,310.41987694089437,2175,2614,706.5,538.1082604829627,326,1087,0
15,Male,Single,Bachelor or equivalent,Non-technology Related Job,207635,Yes,MI,116,218,33,2,0,93,194,0.02,0.0,0.61,4180.0,1756.4532444673841,2938,5422,909.0,247.48737341529164,734,1084,1
31,Male,Single,Bachelor or equivalent,Technology Related Job,205664,Yes,RI,4,222,143,7,2,33,54,0.04,0.02,0.82,3431.0,728.3199846221439,2916,3946,620.0,52.32590180780452,583,657,0
62,Female,Single,Bachelor or equivalent,Non-technology Related Job,66564,Yes,SD,62,419,158,5,0,52,227,0.02,0.02,0.28,3077.6666666666665,3685.7121880761842,582,7311,843.6666666666666,430.04922198898737,582,1340,0
77,Male,Married,Master or equivalent,Technology Related Job,64593,Yes,DE,69,422,18,2,2,92,87,0.04,0.0,0.49,4381.5,3705.9466401986956,1761,7002,793.5,292.03510063004416,587,1000,0
40,Female,Married,PhD or equivalent,Non-technology Related Job,175493,No,GA,7,119,33,0,3,11,259,0.02,0.0,0.95,4578.0,1091.7728701520293,3806,5350,714.5,65.76093065034893,668,761,0
56,Female,Single,High School or below,Technology Related Job,173522,No,MT,14,122,143,5,2,51,120,0.04,0.02,0.16,3731.5,86.97413408594535,3670,3793,841.0,151.32085117392117,734,948,0
18,Male,Single,High School or below,Non-technology Related Job,34423,Yes,NV,72,319,158,3,3,70,292,0.02,0.02,0.61,4065.3333333333335,3280.367103440304,867,7422,791.0,232.51021482937045,530,976,0
34,Male,Single,High School or below,Technology Related Job,32452,Yes,VT,80,323,18,0,2,10,152,0.04,0.0,0.83,4219.0,3227.235349335403,1937,6501,648.0,231.93102422918759,484,812,0
64,Female,Single,High School or below,Non-technology Related Job,143352,Yes,WA,18,20,33,6,3,29,325,0.03,0.0,0.28,2812.0,1930.795431939904,862,4723,828.6666666666666,140.98699703636976,674,950,0
67,Female,Married,Bachelor or equivalent,Non-technology Related Job,198309,No,SC,109,119,68,0,0,98,1,0.06,0.0,0.81,4100.0,362.03867196751236,3844,4356,524.5,137.88582233137677,427,622,0
14,Female,Single,Bachelor or equivalent,Technology Related Job,196338,No,CO,116,122,178,5,3,39,361,0.0,0.02,0.02,1283.5,451.8412331782039,964,1603,441.0,57.982756057296896,400,482,0
45,Male,Single,Bachelor or equivalent,Non-technology Related Job,57239,Yes,DE,54,319,193,3,0,57,33,0.07,0.02,0.48,4573.0,424.26406871192853,4273,4873,940.0,181.01933598375618,812,1068,0
61,Female,Married,Master or equivalent,Technology Related Job,55268,Yes,MO,61,322,53,1,2,97,393,0.01,0.03,0.69,4704.666666666667,3429.579031504207,773,7081,721.6666666666666,290.7306886679377,386,894,0
23,Male,Single,PhD or equivalent,Non-technology Related Job,166168,Yes,NE,119,19,68,6,0,16,66,0.07,0.0,0.15,2989.0,2818.5276298095782,996,4982,664.0,469.51890270786754,332,996,0
39,Male,Married,High School or below,Technology Related Job,164197,Yes,UT,7,23,178,4,2,56,426,0.01,0.01,0.36,4684.5,1817.9715344306137,3399,5970,709.0,202.2325394193526,566,852,0
69,Female,Married,High School or below,Non-technology Related Job,25098,Yes,VA,65,220,193,1,3,75,98,0.07,0.02,0.81,4304.0,1153.9982668964456,3488,5120,802.5,313.2483040656405,581,1024,0
17,Female,Single,High School or below,Technology Related Job,23127,Yes,ID,72,223,53,7,2,15,459,0.01,0.03,0.02,2260.0,397.39401102683973,1979,2541,647.0,16.97056274847714,635,659,0
48,Male,Single,High School or below,Non-technology Related Job,134027,Yes,IN,10,420,68,4,3,34,131,0.07,0.0,0.48,3386.0,1827.1639225860388,2094,4678,598.5,255.26554800834364,418,779,1
64,Female,Single,Bachelor or equivalent,Technology Related Job,132056,No,NM,18,423,178,2,2,74,491,0.01,0.01,0.69,1824.5,815.2941187080893,1248,2401,808.0,554.3717164502533,416,1200,0
26,Male,Single,Bachelor or equivalent,Non-technology Related Job,242956,Yes,NC,75,120,193,7,3,93,164,0.0,0.02,0.15,3528.3333333333335,1842.2650008436171,1433,4894,888.0,479.3130501040004,532,1433,0
42,Male,Married,Master or equivalent,Technology Related Job,240985,Yes,WY,83,124,53,5,1,33,24,0.02,0.03,0.36,5624.0,2395.677774660023,3930,7318,758.5,38.890872965260115,731,786,0
72,Female,Married,Master or equivalent,Non-technology Related Job,101886,Yes,AK,21,321,68,2,2,52,196,0.0,0.0,0.81,2416.6666666666665,2192.0048661746473,222,4606,726.6666666666666,469.6810974835301,222,1151,0
20,Female,Single,High School or below,Technology Related Job,99915,Yes,LA,28,324,178,0,1,92,56,0.02,0.01,0.03,4364.0,1633.4166645409248,3209,5519,688.5,325.9762261269984,458,919,0
50,Male,Married,High School or below,Non-technology Related Job,210815,No,MD,86,21,193,6,2,11,229,0.0,0.02,0.48,3487.0,284.2569260369921,3286,3688,697.0,56.568542494923804,657,737,0
66,Female,Single,High School or below,Non-technology Related Job,208844,No,OR,94,24,53,3,1,51,89,0.02,0.03,0.69,3193.0,1236.022653514085,2319,4067,894.5,171.82694782833104,773,1016,0
29,Male,Single,High School or below,Non-technology Related Job,69744,Yes,RI,32,221,68,1,2,70,261,0.0,0.0,0.15,5485.0,478.0041840821061,5147,5823,612.5,43.1335136523794,582,643,0
45,Male,Married,Bachelor or equivalent,Non-technology Related Job,67773,Yes,CO,39,225,178,6,0,10,121,0.02,0.01,0.36,4678.5,785.5956338982543,4123,5234,848.0,33.94112549695428,824,872,0
75,Female,Married,Bachelor or equivalent,Non-technology Related Job,178674,Yes,DE,97,422,193,4,2,29,294,0.01,0.02,0.82,3993.5,1222.5876246715407,3129,4858,876.5,133.64318164425748,782,971,0
23,Female,Married,Master or equivalent,Non-technology Related Job,176703,Yes,MS,104,425,53,1,0,69,154,0.03,0.03,0.03,1854.6666666666667,1265.6383106295943,761,3241,784.0,24.63736998950984,761,810,0
53,Male,Married,Master or equivalent,Non-technology Related Job,37603,No,MT,42,122,68,7,1,87,326,0.01,0.0,0.48,6326.5,931.2596308226831,5668,6985,860.0,118.79393923933998,776,944,0
69,Female,Single,High School or below,Non-technology Related Job,35632,Yes,TX,50,125,178,4,0,28,186,0.03,0.01,0.69,2340.5,2730.13928216126,410,4271,738.5,464.5691552395617,410,1067,0
31,Male,Single,High School or below,Non-technology Related Job,146533,Yes,VT,108,322,193,2,1,46,359,0.01,0.02,0.15,3249.0,1462.2968234937803,2215,4283,981.5,177.48380207782344,856,1107,0
47,Male,Married,High School or below,Non-technology Related Job,144562,No,ID,115,326,53,7,0,87,219,0.03,0.03,0.36,3921.0,1839.8918446473967,2620,5222,591.0,219.20310216782974,436,746,0
78,Female,Married,High School or below,Non-technology Related Job,5462,Yes,IN,53,22,68,5,1,5,391,0.01,0.0,0.82,5680.5,1417.7490962790278,4678,6683,668.0,0.0,668,668,0
26,Female,Married,Bachelor or equivalent,Non-technology Related Job,3491,Yes,NJ,61,26,178,2,3,46,252,0.03,0.01,0.03,4455.0,2382.949852598665,2770,6140,636.0,340.82546853191593,395,877,0
56,Male,Married,Bachelor or equivalent,Non-technology Related Job,114391,Yes,NY,119,223,193,0,1,64,424,0.02,0.02,0.48,3054.0,2301.153406446428,421,4680,625.6666666666666,184.71690050813794,421,780,0
72,Female,Single,Bachelor or equivalent,Non-technology Related Job,112420,Yes,WI,6,226,53,5,3,5,284,0.04,0.03,0.7,1793.5,14.849242404917497,1783,1804,625.5,375.47370081005676,360,891,0
34,Male,Single,Master or equivalent,Non-technology Related Job,223321,No,AL,64,423,68,3,0,23,457,0.02,0.0,0.15,3438.5,1907.0669888601187,2090,4787,746.5,71.4177848998413,696,797,0
50,Male,Married,High School or below,Non-technology Related Job,221350,No,LA,71,426,178,0,3,64,317,0.04,0.01,0.36,2766.5,1935.3512601075806,1398,4135,694.0,7.0710678118654755,689,699,1
13,Female,Single,High School or below,Non-technology Related Job,82250,Yes,MD,9,123,193,6,0,82,489,0.02,0.02,0.82,3566.3333333333335,2709.2407300447358,811,6227,770.0,143.94790724425278,610,889,0
28,Male,Married,High School or below,Non-technology Related Job,80279,Yes,OK,17,127,53,4,2,23,349,0.04,0.03,0.03,2880.0,333.75440072005046,2644,3116,1050.5,383.9589821842953,779,1322,0
59,Female,Married,High School or below,Non-technology Related Job,191179,Yes,PA,75,324,68,1,0,41,22,0.02,0.0,0.49,2128.6666666666665,1859.4024129631898,292,4010,551.3333333333334,224.96518249127652,292,694,0
75,Female,Single,Bachelor or equivalent,Non-technology Related Job,189208,Yes,CA,82,327,178,7,2,81,382,0.04,0.01,0.7,4809.0,2613.46666326548,2961,6657,863.0,175.36248173426378,739,987,0
37,Male,Single,Bachelor or equivalent,Non-technology Related Job,50109,No,CT,20,24,193,4,3,0,54,0.03,0.02,0.15,5323.5,119.50104602052653,5239,5408,977.0,147.07821048680188,873,1081,0
53,Male,Single,Bachelor or equivalent,Non-technology Related Job,48138,Yes,MS,28,27,53,2,2,40,414,0.05,0.03,0.36,5451.0,735.3910524340095,4931,5971,990.5,6.363961030678928,986,995,0
15,Female,Single,Bachelor or equivalent,Others,159038,Yes,MT,85,224,68,7,3,59,87,0.03,0.0,0.82,3203.0,422.8498551495554,2904,3502,654.5,101.1162697096763,583,726,0
31,Male,Married,PhD or equivalent,Non-technology Related Job,157067,Yes,TX,93,228,178,5,2,99,447,0.05,0.01,0.03,3684.0,872.5697679841996,3067,4301,664.5,72.8319984622144,613,716,0
62,Female,Married,High School or below,Others,17967,Yes,UT,31,425,193,2,3,18,119,0.03,0.02,0.49,2582.3333333333335,2318.2377646249606,658,5156,571.0,87.50428560933459,483,658,0
77,Female,Single,High School or below,Non-technology Related Job,15996,Yes,HI,38,428,53,0,1,58,479,0.05,0.03,0.7,2894.0,967.322076663197,2210,3578,725.5,14.849242404917497,715,736,0
40,Male,Married,High School or below,Others,126897,Yes,IL,96,125,68,5,3,77,152,0.03,0.0,0.15,3941.5,4058.085817229596,1072,6811,1022.5,70.0035713374682,973,1072,0
56,Male,Single,High School or below,Non-technology Related Job,124926,Yes,NJ,104,128,178,3,1,17,12,0.05,0.01,0.36,5290.5,2191.3239148971106,3741,6840,801.5,75.66042558696059,748,855,0
18,Female,Single,Bachelor or equivalent,Others,235826,No,NY,42,325,193,1,2,36,184,0.04,0.02,0.82,2190.0,954.5941546018391,1515,2865,539.0,48.08326112068523,505,573,0
34,Male,Married,Bachelor or equivalent,Non-technology Related Job,233855,No,WI,49,329,53,6,1,76,45,0.06,0.03,0.03,3903.0,2479.1163748400354,2150,5656,582.5,64.34671708797582,537,628,0
64,Female,Married,Bachelor or equivalent,Others,94756,Yes,WY,107,26,68,4,2,95,217,0.04,0.0,0.49,3625.0,3609.0730111761386,1073,6177,922.5,212.83914113715082,772,1073,0
12,Female,Married,Master or equivalent,Non-technology Related Job,92785,Yes,KY,114,29,178,1,1,35,77,0.06,0.01,0.7,3843.5,2397.799095003583,2148,5539,883.0,270.1147904132612,692,1074,0
43,Male,Married,PhD or equivalent,Others,203685,Yes,ME,52,226,193,7,2,54,250,0.04,0.02,0.16,4797.0,3256.933834145238,2494,7100,859.0,39.59797974644666,831,887,0
59,Male,Single,High School or below,Non-technology Related Job,201714,Yes,OK,60,229,53,4,0,94,110,0.06,0.03,0.37,5530.5,3246.32723242744,3235,7826,795.0,18.384776310850235,782,808,0
21,Female,Single,High School or below,Others,62614,No,PA,118,426,68,2,2,12,282,0.04,0.0,0.82,4099.5,1696.3491680665275,2900,5299,648.5,331.6330803764908,414,883,0
37,Male,Married,High School or below,Non-technology Related Job,60643,Yes,CA,5,429,178,7,0,53,142,0.06,0.01,0.03,3914.5,1945.2507550441921,2539,5290,694.5,85.55992052357225,634,755,0
67,Female,Single,High School or below,Others,171544,Yes,CO,63,126,193,5,1,71,315,0.05,0.02,0.49,6494.5,2990.3545776379096,4380,8609,843.0,159.80613254815975,730,956,0
15,Female,Married,Bachelor or equivalent,Non-technology Related Job,169573,Yes,MN,71,130,53,2,0,12,175,0.07,0.03,0.7,4903.5,1092.479976933216,4131,5676,698.5,14.849242404917497,688,709,1
45,Male,Married,Bachelor or equivalent,Others,30473,Yes,MO,9,327,68,0,1,30,347,0.05,0.0,0.16,2309.5,581.9488809165287,1898,2721,690.5,306.1772362537751,474,907,0
61,Male,Single,Master or equivalent,Non-technology Related Job,28502,Yes,TN,16,330,178,5,3,71,207,0.07,0.01,0.37,4229.5,3578.667419585117,1699,6760,847.0,2.8284271247461903,845,849,0
24,Female,Single,Master or equivalent,Others,139402,Yes,UT,74,27,193,3,1,89,380,0.05,0.02,0.82,5529.5,2013.1330060381008,4106,6953,689.5,7.7781745930520225,684,695,1
40,Male,Single,High School or below,Non-technology Related Job,137431,Yes,HI,81,30,53,0,3,30,240,0.07,0.03,0.03,2144.0,634.9818895055197,1695,2593,535.5,159.0990257669732,423,648,1
70,Female,Single,High School or below,Others,248332,Yes,ID,19,227,68,6,0,48,412,0.05,0.0,0.49,4007.0,2177.8888860545662,2467,5547,616.0,0.0,616,616,0
18,Female,Married,High School or below,Non-technology Related Job,246361,No,NH,27,231,178,3,3,89,272,0.07,0.01,0.7,3695.0,1981.3132008847062,2294,5096,653.5,276.4787514439401,458,849,0
48,Male,Married,High School or below,Others,107261,Yes,NM,85,428,193,1,0,7,445,0.06,0.02,0.16,4638.5,1001.9703089413379,3930,5347,690.0,135.7645019878171,594,786,0
64,Female,Single,Bachelor or equivalent,Non-technology Related Job,105290,Yes,WV,92,431,53,6,3,48,305,0.0,0.03,0.37,4320.0,2610.6382361407336,2474,6166,749.0,185.26197667087544,618,880,0
27,Female,Married,Bachelor or equivalent,Others,216191,Yes,WY,30,128,68,4,0,66,477,0.06,0.03,0.82,5738.5,2758.423553408722,3788,7689,796.0,233.3452377915607,631,961,0
42,Male,Single,Master or equivalent,Non-technology Related Job,214219,Yes,KY,38,131,178,2,2,6,338,0.0,0.01,0.04,1312.5,383.9589821842953,1041,1584,784.5,362.74577874869885,528,1041,0
73,Female,Single,Master or equivalent,Others,75120,No,LA,95,328,193,7,0,25,10,0.06,0.01,0.49,2587.0,182.43354954612926,2458,2716,646.5,45.96194077712559,614,679,0
21,Female,Married,High School or below,Non-technology Related Job,73149,Yes,OH,103,332,53,5,2,65,370,0.0,0.03,0.7,4156.5,4138.695990284863,1230,7083,629.0,19.79898987322333,615,643,1
51,Male,Married,High School or below,Others,184049,Yes,OR,41,29,68,2,3,84,43,0.06,0.03,0.16,3338.0,790.5453813665602,2779,3897,736.5,60.10407640085654,694,779,1
67,Female,Married,High School or below,Non-technology Related Job,182078,Yes,AR,48,32,178,0,2,24,403,0.01,0.01,0.37,4182.5,1051.4677836243961,3439,4926,754.0,94.75230867899737,687,821,0
29,Male,Married,High School or below,Others,42979,Yes,CO,106,229,193,5,3,43,75,0.07,0.01,0.83,4690.0,2740.745883879058,2752,6628,748.0,280.0142853498728,550,946,0
45,Male,Single,Bachelor or equivalent,Non-technology Related Job,41008,Yes,MN,114,232,53,3,2,83,435,0.01,0.03,0.04,2207.0,1484.9242404917497,1157,3257,849.5,434.8706704297267,542,1157,0
76,Female,Single,Bachelor or equivalent,Others,151908,Yes,MS,52,429,68,0,3,2,108,0.07,0.03,0.49,2058.0,1593.818684794478,931,3185,630.5,234.05234457274722,465,796,0
23,Female,Married,Bachelor or equivalent,Non-technology Related Job,149937,Yes,SD,59,433,178,6,1,42,468,0.01,0.01,0.7,7888.0,858.4276323604687,7281,8495,991.5,68.58935777509511,943,1040,0
54,Male,Single,Master or equivalent,Others,10837,Yes,TX,117,130,193,3,3,61,140,0.07,0.01,0.16,4305.333333333333,3055.132784893863,1373,7470,1084.6666666666667,279.91844050246726,814,1373,0
70,Female,Married,High School or below,Non-technology Related Job,8866,No,GA,5,133,53,1,1,1,0,0.01,0.03,0.37,5476.5,3836.0542879370205,2764,8189,972.0,72.12489168102785,921,1023,0
32,Male,Married,High School or below,Others,119767,Yes,ID,62,330,68,7,2,20,173,0.07,0.03,0.83,5338.0,1934.644153326394,3970,6706,703.0,59.39696961966999,661,745,0
48,Male,Single,High School or below,Non-technology Related Job,117796,Yes,NH,70,333,178,4,1,60,33,0.02,0.01,0.04,4241.5,2281.833582888989,2628,5855,803.5,102.5304832720494,731,876,0
78,Female,Single,High School or below,Others,228696,Yes,NJ,8,30,193,2,2,79,205,0.0,0.01,0.49,4474.0,3331.887152951012,2118,6830,694.5,16.263455967290593,683,706,0
26,Female,Single,High School or below,Non-technology Related Job,226725,Yes,WA,15,33,53,7,0,19,66,0.02,0.03,0.71,1916.3333333333333,685.1286983723082,1415,2697,969.0,392.90075082646507,674,1415,0
57,Male,Single,Bachelor or equivalent,Others,87625,No,WI,73,230,68,5,2,37,238,0.0,0.03,0.16,700.0,905.0966799187809,60,1340,164.0,147.07821048680188,60,268,0
73,Female,Married,Bachelor or equivalent,Non-technology Related Job,85654,No,KS,81,234,178,2,0,78,98,0.02,0.01,0.37,6554.0,1589.576044107359,5430,7678,836.0,97.58073580374356,767,905,0
35,Male,Married,Bachelor or equivalent,Others,196555,Yes,LA,19,431,193,0,1,96,270,0.0,0.01,0.83,1843.5,485.78235867515815,1500,2187,523.0,32.526911934581186,500,546,0
51,Male,Single,PhD or equivalent,Non-technology Related Job,194584,Yes,OH,26,434,53,5,0,37,131,0.02,0.03,0.04,3134.6666666666665,2381.634802679314,447,4983,591.0,208.42504647954382,447,830,0
13,Female,Single,High School or below,Others,55484,Yes,OK,84,131,68,3,1,55,303,0.0,0.03,0.5,3081.5,2754.1809127216025,1134,5029,691.5,443.3559518039653,378,1005,0
29,Female,Single,High School or below,Non-technology Related Job,53513,Yes,AZ,91,134,178,0,0,96,163,0.03,0.01,0.71,4862.0,2699.7336905702387,2953,6771,671.0,114.5512985522207,590,752,0
59,Male,Single,High School or below,Others,164414,Yes,CA,29,331,193,6,1,14,336,0.01,0.01,0.16,4392.0,156.97770542341354,4281,4503,731.5,26.16295090390226,713,750,0
75,Female,Married,High School or below,Non-technology Related Job,162443,Yes,MI,37,335,52,3,3,55,196,0.03,0.03,0.37,2252.0,1232.3262555021702,876,3254,691.3333333333334,169.78025012743186,542,876,0
38,Male,Married,High School or below,Others,23343,Yes,MS,95,32,67,1,1,73,368,0.01,0.03,0.83,3778.0,89.09545442950498,3715,3841,755.5,17.67766952966369,743,768,0
54,Male,Single,Bachelor or equivalent,Non-technology Related Job,21372,No,SD,102,35,177,6,3,14,228,0.03,0.01,0.04,5193.0,1412.799348810722,4194,6192,806.0,45.254833995939045,774,838,0
16,Female,Married,Bachelor or equivalent,Others,132272,Yes,TX,40,232,192,4,0,32,401,0.01,0.01,0.5,2874.0,1337.8460300049478,1928,3820,703.0,86.2670273047588,642,764,0
32,Female,Single,Master or equivalent,Non-technology Related Job,130301,Yes,FL,48,235,52,1,3,73,261,0.03,0.03,0.71,4090.6666666666665,4310.119758583668,1291,9054,1053.0,208.14418079783061,905,1291,0
62,Male,Single,PhD or equivalent,Others,241202,Yes,HI,106,432,67,7,0,91,433,0.02,0.03,0.16,5824.5,4110.411719037401,2918,8731,849.5,170.41273426595797,729,970,0
